instance,dimacs_time,dimacs_size,opb_time,opb_size,opb_pbcount_time,d4_time,d4_count,p2d_time,p2d_count,pbcount_time,pbcount_count
synthesized/all/large/root_100.uvl,-1;-1;-1,-4,3.48;3.92;4.28,215641,0.22;0.21;0.21,-3;-3;-3,-4,0.80;0.74;0.79,49069602552165922248302474564784044905296094092388652280223164289985037406662819840000000000,-3;-3;-3,-9
synthesized/all/large/root_10.uvl,-1;-1;-1,-4,3.45;3.00;2.85,72273,0.07;0.08;0.08,-3;-3;-3,-4,0.28;0.29;0.31,190772220203914546013285354432114787725966167791687230875205050676763273842814250427069298122847871603656622080,-3;-3;-3,-9
synthesized/all/large/root_11.uvl,-1;-1;-1,-4,2.95;2.71;3.36,76717,0.08;0.08;0.08,-3;-3;-3,-4,0.26;0.28;0.28,43840736565118794061396813631749862938239569212295598356060139008256091750190284800,-1;-1;-1,-9
synthesized/all/large/root_12.uvl,-1;-1;-1,-4,2.92;3.29;3.35,60532,0.07;0.06;0.07,-3;-3;-3,-4,0.25;0.27;0.25,14446177314757892673572663792473565777254730956800000,-3;-3;-3,-9
synthesized/all/large/root_13.uvl,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
synthesized/all/large/root_14.uvl,92.60;91.92;78.32,428502,3.22;2.98;3.01,155701,0.15;0.15;0.16,0.15;0.16;0.15,32,0.43;0.43;0.41,32,-1;-1;-1,-9
synthesized/all/large/root_15.uvl,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
synthesized/all/large/root_16.uvl,-1;-1;-1,-4,-3;-3;3.54,245685,0.24;0.24;0.25,-3;-3;-3,-4,0.99;0.98;0.98,32587885507758978403940230067072106585779018601608894893651696981294701556531200000000000,-1;-1;-1,-9
synthesized/all/large/root_17.uvl,-1;-1;-1,-4,-3;-3;-3,-4,-3;-3;-3,-3;-3;-3,-4,-3;-3;-3,-4,-3;-3;-3,-4
synthesized/all/large/root_18.uvl,-1;-1;-1,-4,2.92;2.79;3.33,86685,0.11;0.10;0.08,-3;-3;-3,-4,0.29;0.29;0.45,318342531987602488245076655767821662071482908792547157925405833588073156570672215457299169280000,-1;-1;-1,-9
